Year,Previous_Total_Budget,Defense_Percentage,Education_Percentage,Health_Percentage,Infrastructure_Percentage,Agriculture_Percentage,State_Transfers_Percentage,Social_Welfare_Percentage,Administration_and_Others_Percentage,Total_Budget_Billions_USD
1973,2.103,25.1,7.8,6.26,16.75,8.38,8.38,8.38,13.96,1.426
1974,1.426,25.1,7.8,6.26,16.75,8.38,8.38,8.38,13.96,1.988
1975,1.988,25.1,7.8,6.26,16.75,8.38,8.38,8.38,13.96,2.508
1976,2.508,25.1,7.8,6.26,16.75,8.38,8.38,8.38,13.96,2.941
1977,2.941,25.1,7.8,6.26,16.75,8.38,8.38,8.38,13.96,3.378
1978,3.378,25.1,7.8,6.26,16.75,8.38,8.38,8.38,13.96,3.978
1979,3.978,25.1,7.8,6.26,16.75,8.38,8.38,8.38,13.96,4.397
1980,4.397,25.1,7.8,6.26,16.75,8.38,8.38,8.38,13.96,5.283
1981,5.283,25.1,7.8,6.26,16.75,8.38,8.38,8.38,13.96,6.276
1982,6.276,25.1,7.8,6.26,16.75,8.38,8.38,8.38,13.96,6.863
1983,6.863,25.1,7.8,6.26,16.75,8.38,8.38,8.38,13.96,6.408
1984,6.408,25.1,7.8,6.26,16.75,8.38,8.38,8.38,13.96,6.958
1985,6.958,25.1,7.8,6.26,16.75,8.38,8.38,8.38,13.96,6.956
1986,6.956,25.1,7.8,6.26,16.75,8.38,8.38,8.38,13.96,7.125
1987,7.125,25.1,7.8,6.26,16.75,8.38,8.38,8.38,13.96,7.449
1988,7.449,25.1,7.8,6.26,16.75,8.38,8.38,8.38,13.96,8.593
1989,8.593,25.1,7.8,6.26,16.75,8.38,8.38,8.38,13.96,8.972
1990,8.972,25.1,7.8,6.26,16.75,8.38,8.38,8.38,13.96,8.936
1991,8.936,25.1,7.8,6.26,16.75,8.38,8.38,8.38,13.96,10.19
1992,10.19,25.1,7.8,6.26,16.75,8.38,8.38,8.38,13.96,10.918
1993,10.918,25.1,7.8,6.26,16.75,8.38,8.38,8.38,13.96,11.572
1994,11.572,27.4,9.38,6.26,15.59,7.8,7.8,7.8,12.99,11.68
1995,11.68,27.21,10.31,6.26,15.37,7.68,7.68,7.68,12.81,13.543
1996,13.543,24.58,10.07,6.26,16.23,8.11,8.11,8.11,13.52,14.143
1997,14.143,25.04,11.75,6.26,15.58,7.79,7.79,7.79,12.99,13.945
1998,13.945,23.45,11.31,6.26,16.2,8.1,8.1,8.1,13.5,13.521
1999,13.521,23.98,11.31,6.26,16.04,8.02,8.02,8.02,13.36,13.525
2000,13.525,22.42,8.49,6.26,17.35,8.67,8.67,8.67,14.46,14.372
2001,14.372,24.03,11.23,6.31,16.03,8.01,8.01,8.01,13.36,14.034
2002,14.034,22.57,11.23,6.27,16.48,8.24,8.24,8.24,13.73,14.146
2003,14.146,25.41,11.23,3.98,16.31,8.16,8.16,8.16,13.59,16.233
2004,16.233,26.06,11.23,4.51,15.96,7.98,7.98,7.98,13.3,19.1
2005,19.1,24.45,13.78,3.98,15.84,7.92,7.92,7.92,13.2,20.977
2006,20.977,21.37,15.29,3.21,16.54,8.27,8.27,8.27,13.78,23.384
2007,23.384,18.03,15.45,2.82,17.61,8.81,8.81,8.81,14.68,26.601
2008,26.601,16.13,14.1,2.22,18.76,9.38,9.38,9.38,15.64,29.211
2009,29.211,16.94,12.08,2.96,18.9,9.45,9.45,9.45,15.75,27.063
2010,27.063,16.83,11.86,2.89,19.02,9.51,9.51,9.51,15.85,28.417
2011,28.417,16.98,10.92,2.54,19.37,9.68,9.68,9.68,16.14,33.311
2012,33.311,16.09,11.04,3.17,19.41,9.7,9.7,9.7,16.17,36.131
2013,36.131,15.93,11.51,3.25,19.29,9.65,9.65,9.65,16.08,37.366
2014,37.366,17.34,11.3,3.34,18.9,9.45,9.45,9.45,15.75,39.206
2015,39.206,18.01,13.19,3.85,17.99,8.99,8.99,8.99,14.99,43.333
2016,43.333,18.09,15.06,3.96,17.37,8.68,8.68,8.68,14.47,45.308
2017,45.308,17.59,14.54,4.77,17.43,8.71,8.71,8.71,14.52,49.002
2018,49.002,18.77,12.19,4.9,17.74,8.87,8.87,8.87,14.78,51.447
2019,51.447,18.4,11.59,4.95,18.02,9.01,9.01,9.01,15.01,46.359
2020,46.359,17.18,10.8,5.12,18.57,9.29,9.29,9.29,15.48,43.4
2021,43.4,18.36,7.82,6.02,18.84,9.42,9.42,9.42,15.7,50.347
2022,50.347,15.92,9.4,5.55,19.24,9.62,9.62,9.62,16.03,54.157
2023,54.157,14.99,9.76,4.68,19.67,9.84,9.84,9.84,16.39,48.638
2024,48.638,13.83,9.76,4.68,20.02,10.01,10.01,10.01,16.68,53.703
2025,53.703,13.83,9.76,4.68,20.02,10.01,10.01,10.01,16.68,58.841
2026,58.841,13.83,9.76,4.68,20.02,10.01,10.01,10.01,16.68,60.9
